date,lat,lon,cnt
2015-05-23 23:30:00,40.3736,-82.7755,69
2015-05-23 23:30:00,37.7749,-122.419,8
2015-05-23 23:30:00,11.4148,8.25082,39
2015-05-23 23:30:00,42.3442,-75.1704,8
2015-05-23 23:30:00,40.9397,24.4019,17
2015-05-23 23:30:00,53.5,-2.21667,7
2015-05-23 23:30:00,35.7806,-5.81365,4
2015-05-23 23:30:00,-26.7971,153.138,4
2015-05-23 23:30:00,19.6011,-99.0525,3
2015-05-23 23:30:00,10.5,-66.9167,5
2015-05-23 23:30:00,51.6,-10.1333,3
2015-05-23 23:30:00,51.7075,-8.53056,3
2015-05-23 23:30:00,51.6833,-9.45,3
2015-05-23 23:30:00,51.8833,-9.58333,5
2015-05-23 23:30:00,52.05,-9.51667,3
2015-05-23 23:30:00,40.7584,-82.5154,3
2015-05-23 23:30:00,55.6667,12.5833,5
2015-05-23 23:30:00,48,8.25,3
2015-05-23 23:30:00,33.4484,-112.074,11
2015-05-23 23:30:00,46.1956,6.14811,11
2015-05-23 23:30:00,25.2522,55.28,12
2015-05-23 23:30:00,35.6411,-79.8431,18
2015-05-23 23:30:00,40.314,-74.5089,12
2015-05-23 23:30:00,39.9272,32.8644,5
2015-05-23 23:30:00,41.85,-87.6501,17
2015-05-23 23:30:00,46.8721,-113.994,7
2015-05-23 23:30:00,34.8375,-106.237,5
2015-05-23 23:30:00,32.7153,-117.157,21
2015-05-23 23:30:00,32.8925,13.18,7
2015-05-23 23:30:00,18.2782,-78.3518,4
2015-05-23 23:30:00,33.3386,44.3939,13
2015-05-23 23:30:00,24.4667,54.3667,3
2015-05-23 23:30:00,24.349,54.4932,3
2015-05-23 23:30:00,10.5231,7.44028,7
2015-05-23 23:30:00,4.78917,6.99861,5
2015-05-23 23:30:00,40.6392,-82.7849,5
2015-05-23 23:30:00,39.9612,-82.9988,14
2015-05-23 23:30:00,10.8658,12.847,8
2015-05-23 23:30:00,41.4751,-81.7521,4
2015-05-23 23:30:00,51.1467,-2.71444,9
2015-05-23 23:30:00,26.567,-81.8831,4
2015-05-23 23:30:00,26.449,-82.0223,3
2015-05-23 23:30:00,42.8667,-77.3164,3
2015-05-23 23:30:00,29.6191,-103.349,3
2015-05-23 23:30:00,37.7763,-122.421,4
2015-05-23 23:30:00,35.5,12.6,6
2015-05-23 23:30:00,34.7333,-120.034,4
2015-05-23 23:30:00,41.1289,-98.2883,4
2015-05-23 23:30:00,35.2271,-80.8431,8
2015-05-23 23:30:00,20.8333,-99.6,21
2015-05-23 23:30:00,20.6667,-103.333,3
2015-05-23 23:30:00,36.175,-115.137,10
2015-05-23 23:30:00,63.65,22.6833,3
2015-05-23 23:30:00,7.23333,3.53333,4
2015-05-23 23:30:00,43.0667,-89.4335,4
2015-05-23 23:30:00,36.8028,10.1797,12
2015-05-23 23:30:00,30.8,130.3,3
2015-05-23 23:30:00,7.5375,8.4701,3
2015-05-23 23:30:00,12.9833,77.5833,5
2015-05-23 23:30:00,44.2394,-114.51,7
2015-05-23 23:30:00,40.3363,-89.0022,6
2015-05-23 23:30:00,38.2542,-85.7594,3
2015-05-23 23:30:00,11.4833,10.9667,3
2015-05-23 23:30:00,51.55,-0.283333,6
2015-05-23 23:30:00,45.4167,-75.7,3
2015-05-23 23:30:00,7.26667,7.4,4
2015-05-23 23:30:00,4.83333,6,4
2015-05-23 23:30:00,38.5816,-121.494,6
2015-05-23 23:30:00,34.0522,-118.244,3
2015-05-23 23:30:00,38.4199,-117.122,4
2015-05-23 23:30:00,38.0666,-121.851,3
2015-05-23 23:30:00,44.5672,-122.127,5
2015-05-23 23:30:00,46.0833,-64.7667,3
2015-05-23 23:30:00,32.9274,120.18,3
2015-05-23 23:30:00,15.2667,44.2833,3
2015-05-23 23:30:00,14.5427,44.4051,3
2015-05-23 23:30:00,38.7045,-93.2283,10
2015-05-23 23:30:00,38.5111,-96.8005,9
2015-05-23 23:30:00,38.7667,-93.5585,4
2015-05-23 23:30:00,38.3834,-93.7835,5
2015-05-23 23:30:00,39.1142,-94.6275,9
2015-05-23 23:30:00,52.35,4.91667,12
2015-05-23 23:30:00,15.3547,44.2067,7
2015-05-23 23:30:00,51.2833,0.983333,21
2015-05-23 23:30:00,41.4962,-81.6854,4
2015-05-23 23:30:00,55.95,-3.2,7
2015-05-23 23:30:00,6.51667,3.36667,3
2015-05-23 23:30:00,7.38778,3.89639,6
2015-05-23 23:30:00,7.5,4.5,3
2015-05-23 23:30:00,14.7367,-17.6339,12
2015-05-23 23:30:00,41.6005,-93.6091,3
2015-05-23 23:30:00,7,3.58333,9
2015-05-23 23:30:00,35,20,11
2015-05-23 23:30:00,13.0833,80.2833,7
2015-05-23 23:30:00,16.85,-99.9167,4
2015-05-23 23:30:00,39.1433,-8.68717,14
2015-05-23 23:30:00,38.7167,-9.13333,12
2015-05-23 23:30:00,42.7475,-107.209,3
2015-05-23 23:30:00,-22.9,-43.2333,3
2015-05-23 23:30:00,54.5833,-3.68333,8
2015-05-23 23:30:00,44.6074,-69.3977,3
2015-05-23 23:30:00,24.6408,46.7728,11
2015-05-23 23:30:00,14.7978,42.9545,3
2015-05-23 23:30:00,34.4358,-119.828,139
2015-05-23 23:30:00,26.75,-78.5,3
2015-05-23 23:30:00,42.2373,-71.5314,6
2015-05-23 23:30:00,53.3331,-6.24889,315
2015-05-23 23:30:00,54.65,-8.11667,42
2015-05-23 23:30:00,34.9513,-92.3809,4
2015-05-23 23:30:00,36.1659,-86.7844,3
2015-05-23 23:30:00,37.669,-84.6514,36
2015-05-23 23:30:00,35.7449,-86.7489,19
2015-05-23 23:30:00,55.8333,-4.25,13
2015-05-23 23:30:00,61.385,-152.268,30
2015-05-23 23:30:00,36.17,-119.746,303
2015-05-23 23:30:00,-27.5,153.017,5
2015-05-23 23:30:00,33.451,-90.6551,15
2015-05-23 23:30:00,32.7673,-89.6812,17
2015-05-23 23:30:00,29.7633,-95.3633,41
2015-05-23 23:30:00,16.45,120.55,94
2015-05-23 23:30:00,42.1497,-74.9384,141
2015-05-23 23:30:00,-30.3261,149.784,112
2015-05-23 23:30:00,-37.0667,142.7,56
2015-05-23 23:30:00,-32.243,148.605,56
2015-05-23 23:30:00,-31.9617,141.46,56
2015-05-23 23:30:00,-36.7582,144.28,111
2015-05-23 23:30:00,13.7086,-89.2031,35
2015-05-23 23:30:00,18.975,72.8258,9
2015-05-23 23:30:00,28.6667,77.2167,27
